사차, 98, 153 
가자, 88, 159 
차타, 51, 179 
하바, 60, 184 
마마, 44, 172 
바사, 75, 159 
나바, 40, 192 
차사, 72, 194 
아라, 99, 188 
카가, 56, 193 
가가, 49, 140 
사카, 53, 146 
다카, 44, 155 
사가, 44, 159 
가가, 51, 155 
타자, 49, 160 
가다, 62, 166 
사바, 40, 192 
타카, 82, 144 
나하, 47, 179 
가파, 78, 154 
아자, 87, 174 
파가, 73, 182 
사차, 49, 185 
마사, 65, 146 
라다, 66, 159 
차사, 76, 165 
다라, 56, 183 
가카, 97, 148 
나아, 60, 181 
사자, 90, 158 
나사, 97, 147 
타차, 68, 146 
나나, 96, 176 
마가, 92, 146 
가파, 69, 183 
차다, 99, 189 
마하, 83, 188 
라타, 44, 168 
다타, 71, 198 
하가, 51, 147 
하나, 44, 188 
가라, 88, 142 
나사, 79, 150 
다자, 94, 188 
나가, 76, 187 
가사, 63, 158 
차마, 77, 198 
바파, 95, 190 
나자, 62, 153 
하마, 91, 177 
차사, 95, 180 
마사, 69, 159 
타타, 45, 159 
가파, 63, 144 
마나, 48, 155 
마자, 66, 194 
사바, 96, 163 
아카, 40, 165 
카가, 48, 142 
차다, 54, 165 
파바, 53, 159 
마라, 57, 153 
타타, 40, 180 
자자, 42, 187 
나바, 47, 197 
타파, 71, 189 
차다, 80, 145 
라가, 84, 146 
파다, 52, 157 
가다, 96, 175 
파바, 41, 170 
가사, 94, 142 
바카, 67, 145 
다하, 82, 148 
자가, 57, 185 
나카, 72, 191 
차사, 45, 190 
파나, 61, 161 
나다, 67, 159 
하사, 48, 148 
바라, 41, 148 
다라, 93, 161 
바타, 67, 177 
나다, 83, 187 
가파, 65, 162 
타카, 84, 166 
마차, 90, 179 
아차, 65, 178 
사마, 63, 193 
가라, 71, 167 
타자, 81, 181 
차바, 81, 195 
마타, 90, 154 
카사, 62, 195 
라하, 50, 191 
아바, 73, 153 
사마, 83, 166 
자차, 43, 182 
파차, 98, 151 
가하, 51, 156 
타자, 75, 157 
라차, 78, 149 
차하, 68, 159 
타아, 51, 155 
차바, 72, 183 
아나, 97, 140 
라다, 62, 178 
라사, 94, 141 
마아, 74, 162 
차하, 91, 168 
가마, 73, 146 
타다, 72, 173 
가하, 75, 162 
타카, 48, 171 
사사, 88, 183 
카라, 65, 146 
자카, 94, 150 
아하, 98, 195 
카가, 48, 160 
마아, 68, 157 
차카, 54, 153 
가파, 69, 147 
자마, 65, 186 
타하, 64, 179 
다가, 60, 145 
차마, 74, 140 
차타, 54, 184 
가차, 96, 165 
파차, 55, 184 
타가, 65, 160 
타가, 59, 140 
파타, 53, 144 
아다, 57, 190 
바사, 65, 149 
나나, 77, 196 
파아, 58, 168 
나사, 58, 177 
아아, 90, 146 
바다, 83, 154 
가가, 79, 179 
다차, 90, 193 
타다, 91, 190 
타마, 93, 172 
나나, 98, 178 
차가, 85, 184 
아나, 84, 161 
차하, 96, 179 
바카, 42, 166 
라사, 79, 193 
사마, 96, 144 
가라, 72, 181 
마다, 85, 149 
아나, 57, 192 
라아, 57, 154 
하바, 92, 148 
하나, 92, 151 
하아, 92, 194 
자차, 42, 140 
가카, 70, 151 
다바, 80, 156 
타마, 58, 143 
카마, 46, 174 
자카, 61, 160 
사타, 54, 182 
사사, 55, 194 
하파, 51, 191 
파바, 91, 143 
라타, 41, 167 
바바, 54, 188 
라나, 71, 141 
다자, 70, 186 
사하, 66, 157 
아아, 52, 166 
자타, 87, 173 
라파, 41, 153 
파나, 77, 179 
나바, 43, 160 
파타, 42, 143 
사자, 56, 182 
타다, 89, 185 
카하, 84, 186 
아바, 63, 161 
아마, 99, 183 
차카, 45, 159 
가타, 66, 170 
마카, 97, 151 
하타, 76, 146 
차나, 66, 174 
사가, 73, 171 
다파, 49, 144 
마마, 49, 196 
아파, 99, 170 
파차, 87, 183 
타하, 54, 198 
파다, 41, 152 
다파, 68, 177 
파차, 55, 161 
아마, 72, 147 
마차, 49, 163 
파아, 59, 162 
마아, 58, 151 
나차, 41, 145 
라하, 82, 162 
하카, 90, 147 
다파, 87, 179 
가다, 94, 166 
타차, 76, 147 
나바, 52, 195 
나자, 86, 154 
자타, 51, 169 
바바, 51, 179 
바파, 43, 197 
하다, 62, 150 
카나, 66, 174 
가다, 41, 141 
다아, 89, 140 
차하, 45, 197 
